position,title
Q848335,Chairman of the Presidency
Q19973243,Member of the Presidency
Q109646833,Bosniak Member of the Presidency
Q109646836,Croat Member of the Presidency
Q109646831,Serb Member of the Presidency
Q16020744,Chairman of the Council of Ministers
Q109645293,Minister of Civil Affairs
Q109645312,Minister of Communications and Transport
Q109645226,Minister of Defence
Q109645194,Minister of Finance and Treasury
Q28866410,Minister of Foreign Affairs
Q109646608,Minister of Foreign Trade and Economic Relations
Q109646596,Minister of Human Rights and Refugees
Q109645278,Minister of Justice
Q109645247,Minister of Security
Q5097121,Chief of the Joint Staff of the Armed Forces
Q109646743,Governor of the Central Bank
Q6594693,President of Republika Srpska
Q108822438,Prime Minister of Republika Srpska
Q3273002,President of the Federation of Bosnia and Herzegovina
Q109374382,Prime Minister of the Federation of Bosnia and Herzegovina
