item,itemLabel,startDate,endDate
Q17998722,Mustafa Fadilpašić,1878-08-22,1892-12-06
Q1566185,Mehmed Kapetanović,1893,1899-04
Q13089793,Nezir Škaljić,1899,1905-03-10
Q13081857,Esad Kulović,1905,1910-11-14
Q1401164,Fehim Čurčić,1910-12-29,1915
Q21932478,Aristotel Petrović,1918-12-02,1920-11
,Ljudevit Novat,1920,1922
,Ibrahim Hadžiomerović,1922,1927
Q10853673,Edhem Bičakčić,1928-10,1929
,Asim-beg Mutevelić,1929,1935
,Ibrahim Šarić,1935,1935
Q10853673,Edhem Bičakčić,1935,1939-03
,Muhamed Zlatar,1939-03,1941
,Atih Hadžikadić,1941,1941-08
,Hasan Demirović,1941-08,1942-05
,Mustafa Softić,1942-05,1945
,Husein Brkić,1945,1947
,Ferid Čengić,1947,1948
,Dane Olbina,1948,1955
Q26838503,Ljubo Kojo,1955,1962
,Lazo Materić,1962,1963
Q26818592,Vaso Radić,1963,1965
,Salko Lagumdžija,1965,1967-05-16
,Džemal Muminagić,1967-05-16,1973-03-10
,Dane Maljković,1973-03-10,1975
,Anto Sučić,1975,1981
Q5370819,Emerik Blum,1981,1983
Q20437996,Uglješa Uzelac,1983,1985
,Kemal Hanjalić,1985,1987
,Salko Selimović,1987,1989
,Juraj Martinović,1989,1990
Q13085512,Muhamed Kreševljaković,1990-12,1994-04
,Tarik Kupusović,1994-04,1996-03
,Rasim Gačanović,1998-01-08,2000-04
,Muhidin Hamamdžić,2000-04,2005-04-16
Q2269131,Semiha Borovac,2005-04-16,2009-01-28
Q3446969,Alija Behmen,2009-01-28,2013-03-27
Q1564343,Ivo Komšić,2013-03-27,2017-02-06
Q43266497,Abdulah Skaka,2017-02-06,2021-04-08
Q106421203,Benjamina Karić,2021-04-08,
