item,itemLabel,startDate,endDate,psid
Q10818003,Vladimir Šoljić,1997-03-18,1997-12-29,Q10818003-8003D2B0-E1C2-4D7F-86E2-31722D6FC838
Q1276440,Ejup Ganić,1997-12-29,2001-01-01,Q1276440-3B48574A-5C75-4547-8F56-C0C462148D2B
Q2478723,Živko Budimir,2011-03-17,2015-02-09,Q2478723-E059529B-6DA7-455A-97AB-E805A582E06D
Q3436394,Niko Lozančić,2003-01-27,2007-02-22,Q3436394-5C21FE7D-EAE5-4928-89D1-633827C114BD
Q3437194,Krešimir Zubak,1994-05-31,1997-03-18,Q3437194-C4D9B5B9-D2D7-4AB0-B558-D8CEACB3FA9F
Q387491,Borjana Krišto,2007-02-22,2011-03-17,Q387491-643EF1F5-991B-4F80-A4CB-F88BE50839F2
Q6099043,Ivo Andrić-Lužanski,2001-01-01,2001-02-28,Q6099043-42E37D46-85A3-4436-B2A4-8136CBC99C5C
Q6099043,Ivo Andrić-Lužanski,1999-01-01,2000-01-01,Q6099043-D9B3772A-D890-48CA-A210-D9D92EF58CA1
Q6372529,Karlo Filipović,2001-02-28,2002-01-01,Q6372529-B3107AED-07DB-4499-958E-724703000BD7
Q6764419,Marinko Čavara,2015-02-09,,Q6764419-586D42F0-C454-4EE7-A3D7-C6D29F1EEE9E
Q7398589,Safet Halilović,2002-01-01,2003-01-27,Q7398589-E907F747-2875-4C72-BD7B-98CBE7E80853
