name,position
Vjekoslav Bevanda,Minister of Finance and Treasury
Selmo Cikotić,Minister of Security
Staša Košarac,Minister of Foreign Trade and Economic Relations
Bisera Turković,Minister of Foreign Affairs
Vojin Mitrović,Minister of Communications and Transport
Josip Grubeša,Minister of Justice
Ankica Gudeljević,Minister of Civil Affairs
Miloš Lučić,Minister of Human Rights and Refugees
Sifet Podžić,Minister of Defence
