@@,name,position
---,Zoran Tegeltija,Chairman of the Council of Ministers of Bosnia and Herzegovina
+++,Vojin Mitrović,Minister of Communications and Transport
+++,Vjekoslav Bevanda,Minister of Finance and Treasury
+++,Staša Košarac,Minister of Foreign Trade and Economic Relations
+++,Sifet Podžić,Minister of Defence
+++,Minister :Selmo Cikotić,Minister of Security
+++,Miloš Lučić,Minister of Human Rights and Refugees
+++,Josip Grubeša,Minister of Justice
+++,Bisera Turković,Minister of Foreign Affairs
+++,Ankica Gudeljević,Minister of Civil Affairs
