item,itemLabel,position,positionLabel,start,psid
Q109646599,Miloš Lučić,Q109646596,Minister of Human Rights and Refugees of Bosnia and Herzegovina,2020-05-15,Q109646599-B9150326-0F66-4E76-AB86-B67566F98C04
Q12752078,Zoran Tegeltija,Q16020744,Chairman of the Council of Ministers of Bosnia and Herzegovina,2019-12-23,Q12752078-344A73FD-49D0-4BE2-AACC-7EFA97EBDF6E
Q12759664,Staša Košarac,Q109646608,Minister of Foreign Trade and Economic Relations (Bosnia and Herzegovina),2019-12-23,Q12759664-0B61F134-B4FD-4954-B077-1F40C536BB93
Q22696487,Josip Grubeša,Q109645278,Minister of Justice of Bosnia and Herzegovina,2015-03-31,Q22696487-3F9E5DF9-D5D4-4DA7-B5FE-D7BF5A239FB5
Q3443267,Selmo Cikotić,Q109645247,Minister of Security of Bosnia and Herzegovina,2020-07-23,Q3443267-BE1BBC28-C3C0-4CEB-B423-7F4FEA7F629A
Q4917286,Bisera Turković,Q28866410,Minister of Foreign Affairs,2019-12-23,Q4917286-4BA34A67-A2DB-42EF-95D7-BBE1DF7831C7
Q61134042,Vojin Mitrović,Q109645312,Minister of Communication and Traffic of Bosnia and Herzegovina,2019-12-23,Q61134042-D85DA815-0009-4114-A7E9-42501EBD080E
Q7511838,Sifet Podžić,Q109645226,Minister of Defence of Bosnia and Herzegovina,2019-12-23,Q7511838-2B721224-D6CF-429E-BA09-819C0A5115BE
Q80903166,Ankica Gudeljević,Q109645293,Minister of Civil Affairs,2019-12-23,Q80903166-AB6B2C32-C93B-43FB-8064-30A3FF6FE6F6
Q57844,Vjekoslav Bevanda,Q109645194,Minister of Finance and Treasury,2015-03-31,Q57844-5FC1EC1F-4417-43E0-9568-A1C18C160020
